number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1742,Автобус,Остановка,"ДЕР. ГОСТИЛИЦЫ, АЗС","ДЕР. ГОСТИЛИЦЫ, АЗС",Гостилицкое шоссе,"463,463А,489,682,683,683А,684,685А,686","59.744894,29.622465"
1743,Автобус,Остановка,ДЕР. ДЯТЛИЦЫ,ДЕР. ДЯТЛИЦЫ,,454,"59.696370,29.643250"
1744,Автобус,Остановка,ДЕР. ДЯТЛИЦЫ,ДЕР. ДЯТЛИЦЫ,Магистральная,"683,683А","59.695546,29.641682"
1745,Автобус,Остановка,ДЕР. ДЯТЛИЦЫ,ДЕР. ДЯТЛИЦЫ,,454,"59.696540,29.644170"
1746,Автобус,Остановка,ДЕР. ДЯТЛИЦЫ,ДЕР. ДЯТЛИЦЫ,,"683,683А","59.695280,29.641750"
1747,Автобус,Остановка,"ДЕР. ДЯТЛИЦЫ, ДОР. НА ФЕРМУ","ДЕР. ДЯТЛИЦЫ, ДОР. НА ФЕРМУ",,454,"59.696280,29.668580"
1748,Автобус,Остановка,"ДЕР. ДЯТЛИЦЫ, ДОР. НА ФЕРМУ","ДЕР. ДЯТЛИЦЫ, ДОР. НА ФЕРМУ",,454,"59.696620,29.666761"
1749,Автобус,Остановка,"ДЕР. ДЯТЛИЦЫ, МАГАЗИН","ДЕР. ДЯТЛИЦЫ, МАГАЗИН",,454,"59.696390,29.658760"
1750,Автобус,Остановка,"ДЕР. ДЯТЛИЦЫ, МАГАЗИН","ДЕР. ДЯТЛИЦЫ, МАГАЗИН",,454,"59.696690,29.657680"
1751,Автобус,Остановка,ДЕР. ЗАОСТРОВЬЕ,ДЕР. ЗАОСТРОВЬЕ,,"463,463А,684,685А,686, 685,686Б ","59.715750,29.522090"
1752,Автобус,Остановка,ДЕР. ЗАОСТРОВЬЕ (тест),ДЕР. ЗАОСТРОВЬЕ,," 686А,686Б ","59.714985,29.521618"
1753,Автобус,Остановка,ДЕР. ЗАОСТРОВЬЕ (тест)<,ДЕР. ЗАОСТРОВЬЕ,, 686А ,"59.715068,29.522109"
1754,Автобус,Остановка,ДЕР. ЗАОСТРОВЬЕ <,ДЕР. ЗАОСТРОВЬЕ,,"463,463А,684,685А,686, 685 ","59.715490,29.522141"
1755,Автобус,Остановка,ДЕР. ЗИМИТИЦЫ,ДЕР. ЗИМИТИЦЫ,Таллинское ш.,487,"59.550723,29.113243"
1756,Автобус,Остановка,ДЕР. ЗИМИТИЦЫ,ДЕР. ЗИМИТИЦЫ,Таллинское ш.,487,"59.550571,29.113607"
1757,Автобус,Остановка,"ДЕР. ИННОЛОВО, 4","ДЕР. ИННОЛОВО, 4",,"458,458А,458Б, 162,163,200,210 ","59.782196,29.988737"
1758,Автобус,Остановка,"ДЕР. ИННОЛОВО, ВЕСЫ","ДЕР. ИННОЛОВО, ВЕСЫ",Аннинское шоссе,"458,458А,458Б","59.781940,29.974330"
1759,Автобус,Остановка,"ДЕР. ИННОЛОВО, ВЕСЫ","ДЕР. ИННОЛОВО, ВЕСЫ",,"458,458А,458Б","59.781683,29.974574"
1760,Автобус,Остановка,"ДЕР. ИННОЛОВО,4","ДЕР. ИННОЛОВО,4",Аннинское шоссе,"458,458А,458Б, 162,163,200,210 ","59.782520,29.988550"
1761,Автобус,Остановка,ДЕР. КАПОРСКОЕ [],ДЕР. КАПОРСКОЕ,,"454, 454А ","59.742980,29.976969"
1762,Автобус,Остановка,ДЕР. КАПОРСКОЕ []<,ДЕР. КАПОРСКОЕ,,"454, 454А ","59.742472,29.977484"
1763,Автобус,Остановка,ДЕР. КЕЛОЗИ,ДЕР. КЕЛОЗИ,,"484, 484Б ","59.663251,29.832616"
1764,Автобус,Остановка,ДЕР. КЕЛОЗИ (ТЕСТ),ДЕР. КЕЛОЗИ,, 484Ш ,"59.662607,29.830281"
1765,Автобус,Остановка,"ДЕР. КЕЛОЗИ, 2","ДЕР. КЕЛОЗИ, 2",,"484, К-484 ","59.657355,29.825414"
1766,Автобус,Остановка,ДЕР. КИПЕНЬ,ДЕР. КИПЕНЬ,Нарвское ш.Гатчинское шоссе,481,"59.675336,29.851913"
1767,Автобус,Остановка,ДЕР. КИПЕНЬ,ДЕР. КИПЕНЬ,"Нарвское ш., Гатчинское шоссе"," 484Ш,547 ","59.672891,29.852318"
1768,Автобус,Остановка,ДЕР. КИПЕНЬ,ДЕР. КИПЕНЬ,"Нарвское ш., Гатчинское шоссе",481,"59.673590,29.851794"
1769,Автобус,Остановка,ДЕР. КЛЯСИНО,ДЕР. КЛЯСИНО,,"454,683","59.661412,29.574509"
1770,Автобус,Остановка,ДЕР. КЛЯСИНО,ДЕР. КЛЯСИНО,,"454,683","59.661458,29.575029"
1771,Автобус,Остановка,ДЕР. КРАСНЫЙ БОР,ДЕР. КРАСНЫЙ БОР,,"454,683,683А","59.684320,29.612130"
1772,Автобус,Остановка,ДЕР. КРАСНЫЙ БОР,ДЕР. КРАСНЫЙ БОР,,"454,683,683А","59.684560,29.612020"
1773,Автобус,Остановка,"ДЕР. ЛОПУХИНКА, МАГАЗИН","ДЕР. ЛОПУХИНКА, МАГАЗИН",,"463,463А,684,685А,686","59.731074,29.403024"
