number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
6519,Автобус,Остановка,СПОРТИВНАЯ УЛ.,,"Спортивная улица, Морской проспект","14, 1Ч,1ЧМА,1ЧМа,1Чм,2Ч,S5,S6,6А,41,42,К-127,199 ","59.970718,30.268300"
6520,Автобус,Остановка,СПОРТИВНАЯ УЛ.,СПОРТИВНАЯ УЛ.,"Морской проспект, Спортивная улица","10,25,25А,46, С-5,6А,10 А,14,41,42,46А,46Б,К-127,К-131,135,135А,180,199 ","59.971046,30.267967"
6521,Автобус,Остановка,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС [72],СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,Космонавтов пр.,"72, К-15,63 ","59.868689,30.345357"
6522,Автобус,Остановка,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС [72]<,СПОРТИВНО-КОНЦЕРТНЫЙ КОМПЛЕКС,Космонавтов пр.,63.72,"59.869391,30.345311"
6523,Автобус,Остановка,"СПОРТИВНЫЙ КОМПЛЕКС ""СПАРТАК""","СПОРТИВНЫЙ КОМПЛЕКС ""СПАРТАК""","Футбольная аллея, Теннисная аллея"," 14,14-А,25,25А,199 ","59.972140,30.226655"
6524,Автобус,Остановка,"СПОРТИВНЫЙ КОМПЛЕКС ""СПАРТАК""","СПОРТИВНЫЙ КОМПЛЕКС ""СПАРТАК""","Южная дорога, Футбольная аллея", 14-Б ,"59.970196,30.224071"
6525,Автобус,Остановка,СПОРТИВНЫЙ ЛАГЕРЬ [2Кр],СПОРТИВНЫЙ ЛАГЕРЬ,Кронштадтское шоссе,"2КР, 002,3КР,101 ","60.024819,29.683705"
6526,Автобус,Остановка,СПОРТИВНЫЙ ЛАГЕРЬ [2Кр],СПОРТИВНЫЙ ЛАГЕРЬ,Кронштадтское шоссе, 2КР ,"60.024830,29.683147"
6527,Автобус,Остановка,СПОРТКОМПЛЕКС,СПОРТКОМПЛЕКС,"Тверская ул., ул. Ижорского батальона","192,326,328,367,387,392А,544, 00,К-201,К-291,К-292,К-293,327,332,335,336,337,337А,364,366,К-366,368,369,386,390,К-391А,392,438,438З,475 ","59.737667,30.610806"
6528,Автобус,Остановка,СПОРТКОМПЛЕКС,СПОРТКОМПЛЕКС,Тверская ул.,"192,326,328,364,367,387,392А,544, 00,К-201,К-291,К-292,327,332,335,336,337,337А,366,К-366,368,369,386,390,К-391Б,392,438,438З,475 ","59.738306,30.610861"
6529,Автобус,Остановка,СРЕДНЕОХТИНСКИЙ ПР.,СРЕДНЕОХТИНСКИЙ ПР.,"Среднеохтинский пр., Революции ш."," 22/,22 ","59.958723,30.415387"
6530,Автобус,Остановка,"СРЕДНЕОХТИНСКИЙ ПР. [22, 106]",СРЕДНЕОХТИНСКИЙ ПР.,"Революции ш., Среднеохтинский пр.","37,55,106,181, 00,К-51,К-95,105,К-106,106Х,К-137,183,К-254,К-530 ","59.959289,30.414568"
6531,Автобус,Остановка,"СРЕДНЕОХТИНСКИЙ ПР. [22, 106]<",СРЕДНЕОХТИНСКИЙ ПР.,"Революции ш., Среднеохтинский пр.","22,37,106, 22/,К-28,К-51,55,К-83,К-106,106Х,К-137,К-163,174,183,К-289,К-322,К-389,К-530 ","59.959176,30.416423"
6532,Автобус,Остановка,СРЕДНЕОХТИНСКИЙ ПР. УГ. Б. ПОРОХОВСКОЙ УЛ.,СРЕДНЕОХТИНСКИЙ ПР. УГ. Б. ПОРОХОВСКОЙ УЛ.,"Среднеохтинский пр., Большая Пороховская ул.","15,22,55,136,174, 00,СП005,К-6,10а,22/,К-28,К-83,К-90,105,К-156,К-163,181,К-185,К-289,К-389 ","59.953244,30.414779"
6533,Автобус,Остановка,СРЕДНЕОХТИНСКИЙ ПР. УГ. Б. ПОРОХОВСКОЙ УЛ. (тест),СРЕДНЕОХТИНСКИЙ ПР. УГ. Б. ПОРОХОВСКОЙ УЛ.,"Большая Пороховская ул., Среднеохтинский пр.",15.136,"59.953395,30.415601"
6534,Автобус,Остановка,"СРЕДНЕОХТИНСКИЙ ПР., УГ. ШОССЕ РЕВОЛЮЦИИ",,"Среднеохтинский проспект, Синявинская улица","15,22,55,136,174, 00,К-6,22/,К-28,К-83,105,К-163,181,К-185,К-289,К-322,К-389 ","59.957202,30.415245"
6535,Автобус,Остановка,"СРЕДНЕОХТИНСКИЙ ПР., УГ. ШОССЕ РЕВОЛЮЦИИ (тест)","СРЕДНЕОХТИНСКИЙ ПР., УГ. ШОССЕ РЕВОЛЮЦИИ","Среднеохтинский пр., Революции ш."," 105,174,181 ","59.958717,30.415387"
6536,Автобус,Остановка,СРЕДНЕРОГАТСКАЯ УЛ.,СРЕДНЕРОГАТСКАЯ УЛ.,Дунайский проспект,"141, 0,00,53,59,116,186 ","59.830773,30.335009"
6537,Автобус,Остановка,СРЕДНЕРОГАТСКАЯ УЛ.,СРЕДНЕРОГАТСКАЯ УЛ.,Дунайский проспект,"141, 0,00,53,59,116,186 ","59.830374,30.334945"
6538,Автобус,Остановка,СРЕДНИЙ ПР. [7]<,СРЕДНИЙ ПР.,"Гаванская улица, Средний проспект В.О.",1.7,"59.932190,30.240470"
6539,Автобус,Остановка,СРЕДНИЙ ПР. В. О. ПО 16-17-Й ЛИНИИ В.О. [42],СРЕДНИЙ ПР. В. О. ПО 16-17-Й ЛИНИИ В.О.,"17-я линия, 16-я линия","42, 3М,3МА,6,24,24А,100,128,152,К-186 ","59.939110,30.266092"
6540,Автобус,Остановка,СРЕДНИЙ ПР. В.О.,СРЕДНИЙ ПР. В.О.,"1-я и Кадетская линии, Средний пр.",7.24,"59.944999,30.286342"
6541,Автобус,Остановка,"СРЕДНИЙ ПР. В.О. [1, 24]",СРЕДНИЙ ПР. В.О.,"Гаванская ул., Средний пр."," 1,7,7А,К-30,42,128,151,К-186,К-309,К-350 ","59.932126,30.239846"
6542,Автобус,Остановка,СРЕДНИЙ ПР. В.О. [128],СРЕДНИЙ ПР. В.О.,"Наличная улица, Средний проспект","1,7,128,151, К-6к,42,199,К-359А,К-690 ","59.930700,30.236285"
6543,Автобус,Остановка,СРЕДНИЙ ПР. В.О. [128]<,СРЕДНИЙ ПР. В.О.,"Наличная улица, Средний проспект",128,"59.930850,30.237443"
6544,Автобус,Остановка,СРЕДНИЙ ПР. В.О. ПО 9 ЛИНИИ,СРЕДНИЙ ПР. В.О. ПО 9 ЛИНИИ,"8-9-я линии, Средний","3МА,42,47,100,128,151, 1,1,3М,6,6А,24,41,К-175,К-309,К-359А,К-690 ","59.943486,30.275155"
6545,Автобус,Остановка,СРЕДНИЙ ПР. В.О. ПО 9-Й ЛИНИИ В.О.,СРЕДНИЙ ПР. В.О. ПО 9-Й ЛИНИИ В.О.,"8-9-я линии, Средний пр.","1,41,100,128,152,К-349, 1,3М,3МА,6,6А,7,24,47,К-62,К-154,К-183,К-309,К-346,К-359Б,К-690 ","59.942051,30.276247"
6546,Автобус,Временная,СРЕДНИЙ ПР. В.О. ПО 9-Й ЛИНИИ В.О.,,"8-9-я линии В.О., Средний проспект В.О.","К-10, 47,К-175,К-309 ","59.943039,30.274992"
6547,Автобус,Остановка,"СРЕДНИЙ ПР. В.О., УГ. ГАВАНСКОЙ УЛ.","СРЕДНИЙ ПР. В.О., УГ. ГАВАНСКОЙ УЛ.","Средний пр., Гаванская ул.","3М,3МА,6, 000,1,3МБ,С-3,6А,7,К-30,К-44,47,К-62,К-120,128,151,К-309 ","59.931769,30.240834"
6548,Автобус,Остановка,"СРЕДНИЙ ПР.,УГ. ГАВАНСКОЙ УЛ. [6]<","СРЕДНИЙ ПР.,УГ. ГАВАНСКОЙ УЛ.","Гаванская улица, Средний проспект В.О.","3М,3МА,6, 000,1,3МБ,С-3,6А,7,7А,К-30,41,К-44,47,К-62,100,К-120,К-124,128,152,К-186,К-309,К-350 ","59.932130,30.240140"
6549,Автобус,Остановка,СРЕДНИЙ ПР.[7],СРЕДНИЙ ПР.,"Гаванская улица, Средний проспект В.О.",7,"59.932126,30.239746"
6550,Автобус,Временная,"СРЕДНИЙ ПР.В.О., 12","СРЕДНИЙ ПР.В.О., 12","Средний проспект В.О., 1-я линия В.О."," ВО,ВО УК ","59.945136,30.285686"
6551,Автобус,Остановка,СРЕДНИЙ ПР.ВО. ПО 16-17 ЛИНИИ В.О.,СРЕДНИЙ ПР.ВО. ПО 16-17 ЛИНИИ В.О.,"16-я линия, 17-я линия","41, 3МА,24,47,100,151,К-186 ","59.939834,30.265743"
6552,Автобус,Остановка,СРЕДНЯЯ УЛ.,СРЕДНЯЯ УЛ.,"ул. Леонтьевская, ул. Средняя",382,"59.717711,30.401015"
6553,Автобус,Остановка,СРЕДНЯЯ УЛ.,СРЕДНЯЯ УЛ.,"ул. Средняя, ул. Леонтьевская"," 371,К-377 ","59.717597,30.402120"
6554,Автобус,Остановка,СРЕДНЯЯ УЛ.,СРЕДНЯЯ УЛ.,"Средняя улица, Леонтьевская улица","385, 0,371,К-377,382 ","59.717610,30.401510"
6555,Автобус,Остановка,СРЕДНЯЯ УЛ. [],СРЕДНЯЯ УЛ.,"Средняя ул., Лицейский пер.",371,"59.718536,30.399084"
6556,Автобус,Остановка,СТ. ГОРЕЛОВО,СТ. ГОРЕЛОВО,"Тупиковая улица, Аннинское шоссе"," 81,442,458,458А,458Б ","59.782030,30.125690"
6557,Автобус,Остановка,СТ. ГОРЕЛОВО,СТ. ГОРЕЛОВО,"Аннинское шоссе, 2-я Железнодорожная улица","81,442,442А,458,458А,458Б, К-81,87,142,162 ","59.781440,30.126750"
6558,Автобус,Остановка,"СТ. М ""ЛАДОЖСКАЯ"" (ПОСАДКА)","СТ. М ""ЛАДОЖСКАЯ"" (ПОСАДКА)","ул. Зольная, Заневский проспект",5,"59.932617,30.440716"
6559,Автобус,Остановка,"СТ. М. ""АДМИРАЛТЕЙСКАЯ""","СТ. М. ""АДМИРАЛТЕЙСКАЯ""","Малая Морская ул., Кирпичный пер.","3,3МБ,10,22,27, С-2,3М,3МА,4М,4МБ,5М,5Мб,С-5,7,7А,10.,10 А,24,24А,27сп,46А,47,100,135,135А,191,191/,191А ","59.936022,30.313847"
6560,Автобус,Остановка,"СТ. М. ""ВЛАДИМИРСКАЯ""","СТ. М. ""ВЛАДИМИРСКАЯ""","Колокольная улица, Дмитровский переулок","1М,1МБ, 1МА ","59.928795,30.348634"
6561,Автобус,Остановка,"СТ. МЕТРО ""МОСКОВСКИЕ ВОРОТА""","ЛИГОВСКИЙ ПР.,УГ. МОСКОВСКОГО ПР.","Лиговский пр., Московский пр.","3,26,64, 0,39А,50 ","59.891527,30.320325"
6562,Автобус,Остановка,"СТ. МЕТРО ""АВТОВО""","СТ. МЕТРО ""АВТОВО""","Стачек пр., Кронштадтская ул.","1М,1МБ,2А,17,18,20,26,73,83,108,145,145А,160,200,201,210,229,300,481,482,482В,484,487, 0,1МА,С-1,2,2МА,2МВ,ПРОЕКТ2,18А,К-20,60-К,К-60,72,78,89,111,130,145Б,145Х,165,200А,200Б,200а,210А,К-224к,300А,К-300,301,К-404,К-424,К-424А,482А,484Б,488 ","59.868282,30.260004"
6563,Автобус,Остановка,"СТ. МЕТРО ""АВТОВО""","СТ. МЕТРО ""АВТОВО""","Кронштадтская улица, дорога на Турухтанные Острова","66, 0,1М,1МБ,2А,17,18,20,26,К-60,66/,73,83,108,111,145,145А,160,200,210,К-224к,229,300,К-300,301,К-424,К-424А,К-445А,481,482,482А,482В,484,484Б,487 ","59.868830,30.257390"
6564,Автобус,Остановка,"СТ. МЕТРО ""АВТОВО""","СТ. МЕТРО ""АВТОВО""","Кронштадтская ул., дор. на Турухтанные острова","66, 66/,111 ","59.868706,30.256492"
6565,Автобус,Остановка,"СТ. МЕТРО ""АДМИРАЛТЕЙСКАЯ""","СТ. МЕТРО ""АДМИРАЛТЕЙСКАЯ""","Большая Морская ул., Кирпичный пер.","2МА,3,4М,4МБ,5М,5Мб,22,27,100, 1,2М,С-2,3М,3МБ,4МА,5Ма,С-5,6,7,10,24,27сп,39А,47,135,191,191/ ","59.935581,30.316970"
6566,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Науки пр., Гражданский пр.",1,"60.012784,30.398415"
6567,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Науки пр., Гражданский пр.",1,"60.013505,30.397067"
6568,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Науки пр., Гражданский пр.","61,102,103,153,176,177,178, 00,01,С-1,К-6,К-9,38Т,К-72,94,К-94,К-101,К-102,К-131,К-176,К-178,К-191,К-193,К-278,К-278А,К-283,К-325,К-330 ","60.012695,30.398626"
6569,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ"" [153, 102, 103]","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Гражданский пр., Науки пр.","1М,1МА,60,93,102,103,153,177,178, 00,1МБ,С-1,К-6,61,К-72,К-93,93Х,К-95,К-102,К-175,176,К-178,К-191,К-288 ","60.013441,30.398354"
6570,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ"" [40, 93, 178]","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Науки пр., Гражданский пр.","1М,1МА,40,61,93,176, 01,1МБ,С-1,К-6,К-9,К-72,80,К-93,93Х,94,К-94,К-101,К-176,К-278,К-278А,К-283,К-288,К-325 ","60.013360,30.397121"
6571,Автобус,Остановка,"СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ"" [40, 93, 178]<","СТ. МЕТРО ""АКАДЕМИЧЕСКАЯ""","Гражданский пр., Науки пр.","40,60, 00,000,61,К-95,123,124,К-131,К-175,178 ","60.012835,30.397367"
6572,Автобус,Остановка,"СТ. МЕТРО ""БЕГОВАЯ""","СТ. МЕТРО ""БЕГОВАЯ""","Савушкина ул., Туристская ул.","101,101А,110,134А,134Ш,211,216, 00,002,32,93,112,120,134,134Ш.,170,193,199,К-206,К-210,К-305,К-305а,К-308,К-387,К-400,К-405,К-417,К-425,К-690 ","59.988413,30.203942"
6573,Автобус,Остановка,"СТ. МЕТРО ""БЕГОВАЯ""","СТ. МЕТРО ""БЕГОВАЯ""","Савушкина ул., Туристская ул.","93,101,110,134Б,134Ш,170,211,216, 00,002,32,93Х,101А.,112,120,134А,134Ш.,К-206,К-210,К-232,К-305,К-305а,К-400,К-405,К-417,К-425 ","59.989039,30.202103"
6574,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","ул. Бухарестская, ул. Салова","5М,5Мб,54,57,74,76,91,117, 0,5Ма,С-5,СП005,12,16А,29,29Т,59,К-136,К-139,141,К-170 ","59.884559,30.366860"
6575,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","Бухарестская ул., Салова ул.","5М,5Мб,29,54,57,59,74,76,91, 00,0,0001,3СП,5Ма,С-5,12,54А,57А,74А СП,117,К-136,К-139,К-250,К-401 ","59.883089,30.367551"
6576,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","Салова ул., Бухарестская ул.","29,36,59,117, 00,0,0001,СП01,3СП,5,СП005,12,16А,29Т,54,54А,57,57А,74А СП,76,К-136,К-138,141,К-170,184,202,К-344,К-401,хаха ","59.884182,30.368302"
6577,Автобус,Остановка,"СТ. МЕТРО ""БУХАРЕСТСКАЯ""","СТ. МЕТРО ""БУХАРЕСТСКАЯ""","улица Салова, Бухарестская улица","36, 0,00,СП01,3,5,59,74,184,202,К-250,К-344 ","59.883808,30.366449"
6578,Автобус,Остановка,"СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""","СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""","Средний проспект, 4-5-я линии","1,3М,6,24,К-44, 000,3МА,3МБ,С-3,6А,7,К-10,24А,К-30,42,47,К-120,128,151,К-175,К-249А,К-298,К-346,К-690,ВО,ВО УК ","59.943490,30.280210"
6579,Автобус,Остановка,"СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ"" [6, 1]","СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""","Средний пр., 4-5-я линии","1,3М,3МА,6,47, 000,3МБ,С-3,6А,7,24,К-30,41,К-44,100,К-120,128,152,К-175,К-298,К-346,К-690 ","59.943761,30.280493"
6580,Автобус,Остановка,"СТ. МЕТРО ""ВЛАДИМИРСКАЯ""","СТ. МЕТРО ""ВЛАДИМИРСКАЯ""","ул. Бол. Московская, Загородный пр."," 1М,1МА,1МБ,С-1,3М,3МБ,С-4 ","59.928486,30.347750"
6581,Автобус,Остановка,"СТ. МЕТРО ""ВОЛКОВСКАЯ""","СТ. МЕТРО ""ВОЛКОВСКАЯ""","Касимовская ул., Бухарестская ул.","57,74,91,117,К-136,К-194,К-401, С-5,12,29,54,59,76,141,К-170,К-344 ","59.896264,30.357751"
6582,Автобус,Остановка,"СТ. МЕТРО ""ВОЛКОВСКАЯ""","СТ. МЕТРО ""ВОЛКОВСКАЯ""","Касимовская ул., Задворная ул.",57.59,"59.896288,30.359312"
6583,Автобус,Остановка,"СТ. МЕТРО ""ВОЛКОВСКАЯ"" (ТОЛЬКО ПОСАДКА)","СТ. МЕТРО ""ВОЛКОВСКАЯ"" (ТОЛЬКО ПОСАДКА)","ул. Касимовская, ул. Задворная",57.59,"59.895979,30.358572"
6584,Автобус,Остановка,"СТ. МЕТРО ""ВЫБОРГСКАЯ""","СТ. МЕТРО ""ВЫБОРГСКАЯ""","Смолячкова ул., Лесной пр.","14,86, 00,1МА,1МА.,1Ч,1ЧМА,1ЧМБ,002,49,52,60,165 сп ,К-240Б ","59.971354,30.347348"
6585,Автобус,Остановка,"СТ. МЕТРО ""ВЫБОРГСКАЯ""","СТ. МЕТРО ""ВЫБОРГСКАЯ""","Лесной проспект, ул. Гренадерская","1М,1МА, 1МБ,С-1,К-152,К-367 ","59.969813,30.348625"
6586,Автобус,Остановка,"СТ. МЕТРО ""ВЫБОРГСКАЯ""","СТ. МЕТРО ""ВЫБОРГСКАЯ""","Лесной проспект, улица Смолячкова","1М,1МА, 1МБ,С-1,52,60,77 сп ,86,К-152,К-240Б,К-367 ","59.972070,30.348210"
6587,Автобус,Остановка,"СТ. МЕТРО ""ВЫБОРГСКАЯ""","СТ. МЕТРО ""ВЫБОРГСКАЯ""","Лесной пр., Смолячкова ул."," 1М,1МБ,S4,14,49,52,77 сп ,86,К-152,К-240Б,К-367 ","59.970908,30.348110"
6588,Автобус,ДС,"СТ. МЕТРО ""ВЫБОРГСКАЯ"" ПОСАДКИ/ВЫСАДКИ НЕТ","СТ. МЕТРО ""ВЫБОРГСКАЯ"" ПОСАДКИ/ВЫСАДКИ НЕТ","Гренадерская улица, Лесной проспект"," 1МА,1МА.,К-283 ","59.969823,30.346054"
6589,Автобус,Остановка,"СТ. МЕТРО ""ГОРЬКОВСКАЯ""","СТ. МЕТРО ""ГОРЬКОВСКАЯ""","Каменноостровский пр., Кронверкский пр.","2М,46, 2МА,2МБ,С-2,6А,К-30,46А,46Б,К-46,49,К-76,К-223,К-273,ПС,ПС УК ","59.955814,30.320889"
6590,Автобус,Остановка,"СТ. МЕТРО ""ГОРЬКОВСКАЯ"" [46А]<","СТ. МЕТРО ""ГОРЬКОВСКАЯ""","Каменноостровский пр., Кронверкский пр.","2М,2МБ,46, 2МА,С-2,5М,10,14,К-30,46А,46Б,К-46,К-76,191 ","59.955531,30.321618"
6591,Автобус,Остановка,"СТ. МЕТРО ""ГОСТИНЫЙ ДВОР"" [3, 7, 22, 24, 27]","СТ. МЕТРО ""ГОСТИНЫЙ ДВОР""","Невский пр., Перинная линия","3,3М,3МБ,4М,4МБ,5М,5Мб,7,22,24,27,191, 000,1,2М,2МА,С-2,3МА,С-3,4МА,5Ма,С-5,7А,10,24А,27сп,39А,70,100,135,135А,191А,191сп ","59.934392,30.332739"
6592,Автобус,Остановка,"СТ. МЕТРО ""ГОСТИНЫЙ ДВОР"" [3, 7, 22, 24, 27]<","СТ. МЕТРО ""ГОСТИНЫЙ ДВОР""","Невский пр., пл. Островского","3,3М,3МБ,7,22,24,27,191, 000,3МА,С-3,7А,24А,27сп,39э,49,135,135А,191А,191сп ","59.933892,30.338786"
6593,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","Просвещения пр., Гражданский пр.","61,93,121,139,183,К-284, 00,000,1М,40,60,К-93,93Х,К-121,177,177А,178,К-199,К-214 ","60.035722,30.417976"
6594,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","Гражданский пр., проспект Просвещения","1М,1МА,60,102,153,177,178, 1МБ,С-1,40,61,К-95,К-108,К-112,К-118,К-175,199 ","60.035120,30.419622"
6595,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""",,"проспект Просвещения, Гражданский проспект","61,К-83,177,183, 00,000,С-1,К-2 МЕГА,93,К-93,121,К-121,177 шк,К-208,214,К-284,К-288,К-298 ","60.035068,30.421113"
6596,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","Гражданский проспект, проспект Просвещения","176, 1М,1МА,40,93,К-95,К-108,К-112,121,К-175,К-199,К-208,214,К-214,К-288,К-298 ","60.036010,30.421290"
6597,Автобус,Остановка,"СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР."" [93]","СТ. МЕТРО ""ГРАЖДАНСКИЙ ПР.""","Просвещения пр., Гражданский пр.","1М,1МА,60,61,93,102,121,139,153,176,178,183, 00,000,1МБ,К-2 МЕГА,К-93,93Х,К-118,К-121,К-199,К-214,К-284 ","60.035758,30.419502"
6598,Автобус,Остановка,"СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ""","СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ""","Бабушкина ул., Елизарова пр.","3М,3МБ,31,114,116,К-253, 00Е,3М/,3МА,С-3,6 сп ,8А,8Б,8В,31А,К-31,56А СП,58,95,К-114,114Х,К-116,К-117,К-264,К-365 ","59.896773,30.422983"
6599,Автобус,Остановка,"СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ""","СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ""","Бабушкина ул., Елизарова пр.","3М,3МБ,95,116, 00,00Е,3М/,3МА,С-3,6 сп ,8,8Б,8В,К-16,31,К-53а,56А СП,114,К-114,К-116,К-117,К-135,К-264,К-365 ","59.895797,30.424087"
6600,Автобус,Временная,"СТ. МЕТРО ""ЗВЕЗДНАЯ""","СТ. МЕТРО ""ЗВЕЗДНАЯ""","ул. Звёздная, ул. Ленсовета","К-116,К-136,К-293А, 1с,59,64,64А,К-86,116,К-138,179,186,190,К-201,К-296,К-296А ","59.833580,30.349180"
6601,Автобус,Остановка,"СТ. МЕТРО ""ЗВЕЗДНАЯ""","СТ. МЕТРО ""ЗВЕЗДНАЯ""","Ленсовета ул., Звёздная ул."," 2М,2МА,2МБ,50,К-479 ","59.833333,30.348508"
6602,,Временная,"СТ. МЕТРО ""ЗВЕЗДНАЯ""","СТ. МЕТРО ""ЗВЕЗДНАЯ""","улица Ленсовета, Звёздная улица",,"59.832529,30.350020"
6603,Автобус,Остановка,"СТ. МЕТРО ""ЗВЕЗДНАЯ""","СТ. МЕТРО ""ЗВЕЗДНАЯ""","Ленсовета ул., Звездная ул.","2М,2МА,34,50,64,64А,116,141,179,186,190,192,197, 00,00,0,1с,2МБ,С-2,К-3,53,59,62,88,К-116,К-136,184,186сп,187А,К-201,К-293А,К-479 ","59.832488,30.349410"
6604,Автобус,Остановка,"СТ. МЕТРО ""ЗВЕЗДНАЯ"" [34, 50, 116]","СТ. МЕТРО ""ЗВЕЗДНАЯ""","Звёздная ул., Пулковская ул.","16,34,36,59,64,64А,К-86,116,141,179,186,190,192, 00,0,1с,2М,2МА,2МБ,50,53,62,63,72,88,К-116,К-151,186сп,196,К-201,К-216,К-293А,К-296,К-296А,К-350 ","59.833682,30.351735"
6605,Автобус,Остановка,"СТ. МЕТРО ""ЗВЕНИГОРОДСКАЯ""","СТ. МЕТРО ""ЗВЕНИГОРОДСКАЯ""","ул. Звенигородская, Загородный пр.","5М,5Мб,К-338, 5Ма,С-5,65,К-124,К-139 ","59.923126,30.335635"
6606,Автобус,Остановка,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","Стачек пр., Новостроек ул.","1М,1МБ,2,66,72,111, 0,1МА,С-1,2А,К-2,18,К-20,К-41,66А,К-66,78,К-111,К-151,К-154,К-195,К-224к,К-245,300,К-306,К-404,К-484 ","59.878884,30.260369"
6607,Автобус,Остановка,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","Васи Алексеева ул., Стачек пр.","73,111,К-245, 2А,К-41,72,К-151,300,К-484 ","59.880141,30.262753"
6608,Автобус,Остановка,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","Васи Алексеева ул., Стачек пр.","К-41,72,73,111,К-111, 2А,66,78,К-151,К-224к,К-245,300,К-484 ","59.879705,30.263343"
6609,Автобус,Остановка,"СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД"" [2, 66]","СТ. МЕТРО ""КИРОВСКИЙ ЗАВОД""","Стачек пр., Васи Алексеева ул.","1М,1МБ,2,66,111, 0,1МА,С-1,2А,К-2,18,К-20,К-41,66А,К-66,72,73,78,К-195,К-245,300,К-306,К-404,К-484 ","59.879667,30.260668"
6610,Автобус,Остановка,"СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","Ильюшина ул., Гаккелевская ул.","126,134Б,172,180, 002,5М,5Ма,К-14,47А,К-94,122А,125,134А,К-134,134Ш.,134Ш,154,154А,К-158,К-279,К-371,К-379 ","60.007604,30.256387"
6611,Автобус,Остановка,"СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","Гаккелевская ул., Ильюшина ул.","5М,5Ма,125,172, 5Мб,С-5,К-23,93,126,134Б,134Ш.,К-158,К-179,К-179А,180,193,199,К-210А,К-232,К-308 ","60.006503,30.258172"
6612,Автобус,Остановка,"СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","Комендантский пр., Уточкина ул.","127,135,171, 002,С-5,К-23,79,К-91,К-91А,К-168,170,171А,180,182,194,199 ","60.008754,30.258622"
6613,Автобус,Остановка,"СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","СТ. МЕТРО ""КОМЕНДАНТСКИЙ ПРОСПЕКТ""","Ильюшина ул., Гаккелевская ул.",134,"60.006960,30.257696"
